"country_name","total_temp_changes"
"Mongolia",50.37
"Svalbard and Jan Mayen Islands",50.025
"Gambia",48.453
"Morocco",47.314
"Guinea-Bissau",47.29
"Tunisia",46.848
"Mauritania",44.865
"Eastern Europe",44.689
"Austria",44.165
"Senegal",43.608
"Liechtenstein",43.22
"Europe",43.171
"Western Sahara",43.091
"Kuwait",42.424
"Finland",42.421
"Saint Helena, Ascension and Tristan da Cunha",42.288
"Switzerland",42.112
"Algeria",41.958
"Bahrain",41.307
"Germany",41.082
"Andorra",40.797
"Western Europe",40.08
"Sweden",39.851
"Netherlands",39.449
"Poland",38.971
"France",38.741
"Denmark",38.357
"Monaco",37.477
"Gibraltar",37.128
"Somalia",36.305
"Spain",36.297
"Hungary",36.277
"Iran (Islamic Republic of)",36.043
"Qatar",36.008
"Portugal",35.826
"Canada",35.558
"Annex I countries",35.52
"Northern Europe",35.246
"San Marino",35.194
"Western Africa",35.157
"Norway",35.054
"Guinea",34.764
"Mali",34.762
"Italy",34.42
"Malta",34.106
"Southern Europe",33.53
"Haiti",33.49
"Eastern Asia",33.181
"Land Locked Developing Countries",32.876
"Nigeria",32.566
"Suriname",32.519
"Brazil",32.41
"Northern Africa",32.331
"Niger",32.202
"Democratic People's Republic of Korea",31.832
"Dominican Republic",31.56
"Togo",31.494
"Channel Islands",31.407
"Benin",31.171
"China, mainland",31.129
"World",30.889
"Northern America",30.856
"Liberia",30.77
"C̫te d'Ivoire",30.675
"Ghana",29.947
"Holy See",29.832
"Iraq",29.708
"Burkina Faso",29.547
"Belize",29.402
"Romania",29.363
"Guyana",29.23
"OECD",29.151
"Sri Lanka",29.021
"Africa",28.997
"Caribbean",28.836
"Albania",28.644
"Americas",28.504
"Tonga",28.456
"Net Food Importing Developing Countries",28.304
"Peru",28.219
"Cuba",28.046
"Uganda",27.926
"Asia",27.907
"Saudi Arabia",27.894
"Least Developed Countries",27.855
"Non-Annex I countries",27.56
"Honduras",27.382
"Kenya",27.319
"Namibia",27.099
"Bolivia (Plurinational State of)",27.01
"Guatemala",27.002
"Chad",26.861
"South Africa",26.768
"South America",26.701
"Lesotho",26.689
"Bulgaria",26.673
"Zambia",26.651
"Western Asia",26.416
"Eastern Africa",26.393
"United States of America",26.355
"Malawi",26.252
"El Salvador",26.239
"Ecuador",26.18
"Small Island Developing States",25.864
"Low Income Food Deficit Countries",25.766
"Cameroon",25.735
"Southern Africa",25.717
"Nicaragua",25.595
"Australia",25.573
"Afghanistan",25.507
"Syrian Arab Republic",25.355
"Libya",25.331
"Lao People's Democratic Republic",25.274
"Australia and New Zealand",25.243
"Malaysia",25.243
"Central African Republic",25.189
"Fiji",25.028
"Bahamas",25.017
"Venezuela (Bolivarian Republic of)",24.928
"Oceania",24.882
"Paraguay",24.644
"United Republic of Tanzania",24.638
"Philippines",24.412
"Angola",24.363
"Vanuatu",24.311
"Seychelles",23.933
"Eswatini",23.728
"Thailand",23.682
"Wallis and Futuna Islands",23.664
"Turkey",23.409
"Middle Africa",23.313
"Lebanon",23.092
"Isle of Man",22.928
"Ireland",22.816
"Republic of Korea",22.796
"Polynesia",22.78
"Myanmar",22.711
"Brunei Darussalam",22.693
"Central America",22.383
"Cambodia",22.304
"Greenland",22.144
"Faroe Islands",21.936
"Netherlands Antilles (former)",21.784
"Viet Nam",21.758
"Mexico",21.7
"Botswana",21.555
"Madagascar",21.481
"Cyprus",21.303
"Colombia",21.209
"Bhutan",21.147
"China, Hong Kong SAR",20.914
"China, Macao SAR",20.914
"Democratic Republic of the Congo",20.841
"Mauritius",20.818
"Saint Vincent and the Grenadines",20.73
"Grenada",20.718
"Greece",20.294
"Uruguay",20.136
"Southern Asia",19.972
"Melanesia",19.626
"United Arab Emirates",19.506
"Mozambique",19.435
"French Polynesia",19.18
"Papua New Guinea",18.868
"Gabon",18.797
"Japan",18.762
"New Caledonia",18.644
"Puerto Rico",18.469
"Tuvalu",18.36
"Saint Lucia",18.268
"China, Taiwan Province of",17.75
"Jordan",17.451
"Indonesia",17.347
"Zimbabwe",16.794
"Iceland",15.951
"Oman",15.756
"New Zealand",15.715
"Egypt",15.648
"Argentina",15.63
"Palestine",15.62
"Martinique",15.54
"Israel",15.415
"Cocos (Keeling) Islands",15.218
"Anguilla",15.116
"Guadeloupe",15.11
"Dominica",15.103
"United States Virgin Islands",14.985
"British Virgin Islands",14.579
"Micronesia",14.247
"Bangladesh",13.437
"India",12.781
"Nepal",12.159
"Pakistan",11.755
"Chile",10.871
"Saint Pierre and Miquelon",9.325
"Antarctica",9.293
